id,name,country,description
1,University_1,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
2,University_2,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
3,University_3,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
4,University_4,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
5,University_5,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
6,University_6,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
7,University_7,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
8,University_8,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
9,University_9,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
10,University_10,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
11,University_11,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
12,University_12,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
13,University_13,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
14,University_14,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
15,University_15,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
16,University_16,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
17,University_17,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
18,University_18,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
19,University_19,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
20,University_20,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
21,University_21,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
22,University_22,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
23,University_23,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
24,University_24,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
25,University_25,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
26,University_26,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
27,University_27,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
28,University_28,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
29,University_29,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
30,University_30,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
31,University_31,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
32,University_32,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
33,University_33,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
34,University_34,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
35,University_35,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
36,University_36,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
37,University_37,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
38,University_38,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
39,University_39,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
40,University_40,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
41,University_41,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
42,University_42,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
43,University_43,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
44,University_44,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
45,University_45,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
46,University_46,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
47,University_47,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
48,University_48,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
49,University_49,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
50,University_50,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
51,University_51,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
52,University_52,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
53,University_53,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
54,University_54,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
55,University_55,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
56,University_56,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
57,University_57,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
58,University_58,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
59,University_59,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
60,University_60,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
61,University_61,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
62,University_62,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
63,University_63,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
64,University_64,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
65,University_65,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
66,University_66,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
67,University_67,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
68,University_68,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
69,University_69,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
70,University_70,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
71,University_71,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
72,University_72,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
73,University_73,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
74,University_74,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
75,University_75,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
76,University_76,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
77,University_77,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
78,University_78,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
79,University_79,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
80,University_80,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
81,University_81,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
82,University_82,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
83,University_83,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
84,University_84,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
85,University_85,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
86,University_86,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
87,University_87,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
88,University_88,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
89,University_89,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
90,University_90,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
91,University_91,USA,"Leading institution for machine learning research, startup ecosystem, innovation, engineering education and technology development."
92,University_92,USA,"Leading institution for robotics research, startup ecosystem, innovation, engineering education and technology development."
93,University_93,USA,"Leading institution for data science research, startup ecosystem, innovation, engineering education and technology development."
94,University_94,USA,"Leading institution for entrepreneurship research, startup ecosystem, innovation, engineering education and technology development."
95,University_95,USA,"Leading institution for computer science research, startup ecosystem, innovation, engineering education and technology development."
96,University_96,USA,"Leading institution for software engineering research, startup ecosystem, innovation, engineering education and technology development."
97,University_97,USA,"Leading institution for innovation research, startup ecosystem, innovation, engineering education and technology development."
98,University_98,USA,"Leading institution for deep learning research, startup ecosystem, innovation, engineering education and technology development."
99,University_99,USA,"Leading institution for autonomous systems research, startup ecosystem, innovation, engineering education and technology development."
100,University_100,USA,"Leading institution for artificial intelligence research, startup ecosystem, innovation, engineering education and technology development."
